ID,Animal,Date,Channel,Cluster,Path,Region,ImgPath,OtherImgPath,Lift,Press,Holding,Trigger,Release
1,Russo,8/21/2021 12:50,4,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch4_Unit1.png,,,,,,
2,Russo,8/21/2021 12:50,4,2,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch4_Unit2.png,,,,,,
3,Russo,8/21/2021 12:50,4,3,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch4_Unit3.png,Images/Russo/20210821/Lift_cell_unit_3/position_heatmap.png;Images/Russo/20210821/Lift_cell_unit_3/position_heatmap_yt.png;Images/Russo/20210821/Lift_cell_unit_3/traj_all.png;Images/Russo/20210821/Lift_cell_unit_3/traj_all_yt.png,1,,,,
4,Russo,8/21/2021 12:50,7,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch7_Unit1.png,,,,,,
5,Russo,8/21/2021 12:50,7,2,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch7_Unit2.png,,,,,,
6,Russo,8/21/2021 12:50,7,3,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch7_Unit3.png,,,,,,
7,Russo,8/21/2021 12:50,8,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch8_Unit1.png,,,,,,
8,Russo,8/21/2021 12:50,8,2,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch8_Unit2.png,,,,,,
9,Russo,8/21/2021 12:50,8,3,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch8_Unit3.png,,,,,,
10,Russo,8/21/2021 12:50,10,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch10_Unit1.png,,,,,1,
11,Russo,8/21/2021 12:50,11,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch11_Unit1.png,,,,,,
12,Russo,8/21/2021 12:50,16,1,D:\Ephys\ANMs\Russo\Sessions\20210821\RTarrayAll.mat,M1,Images/Russo/20210821/Ch16_Unit1.png,,,,,1,
13,Russo,9/8/2021 8:20,1,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch1_Unit1.png,,,,,,
14,Russo,9/6/2021 11:29,4,1,A:\Ephys\ANMs\Russo\20210906\RTarrayAll.mat,M1,Images/Russo/20210906/Ch4_Unit1.png,,1,,,,
15,Russo,9/8/2021 8:20,4,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch4_Unit1.png,,,,,1,
16,Russo,9/8/2021 8:20,4,2,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch4_Unit2.png,,,,,,
17,Russo,9/8/2021 8:20,7,2,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch7_Unit2.png,,,,,,
18,Russo,9/8/2021 8:20,7,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch7_Unit1.png,,,,,,
19,Russo,9/8/2021 8:20,7,3,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch7_Unit3.png,,,,,,
20,Russo,9/8/2021 8:20,8,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch8_Unit1.png,,,,,,
21,Russo,9/8/2021 8:20,8,2,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch8_Unit2.png,,,,,,
22,Russo,9/8/2021 8:20,8,3,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch8_Unit3.png,,1,,,,
23,Russo,9/8/2021 8:20,9,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch9_Unit1.png,,,,,,
24,Russo,9/6/2021 11:29,10,1,A:\Ephys\ANMs\Russo\20210906\RTarrayAll.mat,M1,Images/Russo/20210906/Ch10_Unit1.png,,1,,,1,
25,Russo,9/8/2021 8:20,14,1,A:\Ephys\ANMs\Russo\20210908\RTarrayAll.mat,M1,Images/Russo/20210908/Ch14_Unit1.png,,1,,,1,
26,Russo,9/7/2021 6:15,14,2,A:\Ephys\ANMs\Russo\20210907\RTarrayAll.mat,M1,Images/Russo/20210907/Ch14_Unit2.png,,,,,,
27,Urey,11/24/2021 9:30,1,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch1_Unit1.png,Images/Urey/20211124/Lift_cell_unit_1/position_heatmap.png;Images/Urey/20211124/Lift_cell_unit_1/position_heatmap_yt.png;Images/Urey/20211124/Lift_cell_unit_1/traj_all.png;Images/Urey/20211124/Lift_cell_unit_1/traj_all_yt.png,1,,,,
28,Urey,11/24/2021 9:30,4,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch4_Unit1.png,,,,,,
29,Urey,11/24/2021 9:30,5,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch5_Unit1.png,,,,,1,
30,Urey,11/24/2021 9:30,8,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch8_Unit1.png,,,,,,
31,Urey,11/24/2021 9:30,8,2,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch8_Unit2.png,,,,,,
32,Urey,11/24/2021 9:30,10,2,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch10_Unit2.png,,,,,,
33,Urey,11/24/2021 9:30,10,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch10_Unit1.png,Images/Urey/20211124/Lift_cell_unit_12/position_heatmap.png;Images/Urey/20211124/Lift_cell_unit_12/position_heatmap_yt.png;Images/Urey/20211124/Lift_cell_unit_12/traj_all.png;Images/Urey/20211124/Lift_cell_unit_12/traj_all_yt.png,1,,,,
34,Urey,11/24/2021 9:30,12,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch12_Unit1.png,,,,,,
35,Urey,11/24/2021 9:30,12,2,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch12_Unit2.png,,,,,,
36,Urey,11/24/2021 9:30,14,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch14_Unit1.png,,,,,,
37,Urey,11/24/2021 9:30,15,1,G:\WHBWork\Ephys\Urey\Sessions\20211124\RTarrayAll.mat,M1,Images/Urey/20211124/Ch15_Unit1.png,,,,,,
38,Eli,9/23/2021 8:58,1,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch1_Unit1.png,,,,,,
39,Eli,9/24/2021 9:06,1,2,A:\Ephys\ANMs\Eli\20210924\RTarrayAll.mat,M1,Images/Eli/20210924/Ch1_Unit2.png,,,,,,
40,Eli,9/23/2021 8:58,5,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch5_Unit1.png,,,,,,
41,Eli,9/23/2021 8:58,5,2,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch5_Unit2.png,,,,,,
42,Eli,9/23/2021 8:58,5,3,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch5_Unit3.png,Images/Eli/20210923/Lift_cell_unit_5/position_heatmap.png;Images/Eli/20210923/Lift_cell_unit_5/position_heatmap_yt.png;Images/Eli/20210923/Lift_cell_unit_5/traj_all.png;Images/Eli/20210923/Lift_cell_unit_5/traj_all_yt.png,1,,,1,
43,Eli,9/23/2021 8:58,8,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch8_Unit1.png,,,,,,
44,Eli,9/20/2021 9:52,8,2,A:\Ephys\ANMs\Eli\20210920\RTarrayAll.mat,M1,Images/Eli/20210920/Ch8_Unit2.png,,,,,,
45,Eli,9/20/2021 9:52,8,3,A:\Ephys\ANMs\Eli\20210920\RTarrayAll.mat,M1,Images/Eli/20210920/Ch8_Unit3.png,,,,,,
46,Eli,9/23/2021 8:58,9,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch9_Unit1.png,,,,,,
47,Eli,9/23/2021 8:58,9,2,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch9_Unit2.png,,,,,1,
48,Eli,9/23/2021 8:58,10,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch10_Unit1.png,Images/Eli/20210923/Lift_cell_unit_10/position_heatmap.png;Images/Eli/20210923/Lift_cell_unit_10/position_heatmap_yt.png;Images/Eli/20210923/Lift_cell_unit_10/traj_all.png;Images/Eli/20210923/Lift_cell_unit_10/traj_all_yt.png,1,,,,
49,Eli,9/23/2021 8:58,13,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch13_Unit1.png,Images/Eli/20210923/Lift_cell_unit_12/position_heatmap.png;Images/Eli/20210923/Lift_cell_unit_12/position_heatmap_yt.png;Images/Eli/20210923/Lift_cell_unit_12/traj_all.png;Images/Eli/20210923/Lift_cell_unit_12/traj_all_yt.png,1,,,,
50,Eli,9/23/2021 8:58,15,1,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch15_Unit1.png,Images/Eli/20210923/Lift_cell_unit_14/position_heatmap.png;Images/Eli/20210923/Lift_cell_unit_14/position_heatmap_yt.png;Images/Eli/20210923/Lift_cell_unit_14/traj_all.png;Images/Eli/20210923/Lift_cell_unit_14/traj_all_yt.png,1,,,,
51,Eli,9/23/2021 8:58,15,2,A:\Ephys\ANMs\Eli\20210923\RTarrayAll.mat,M1,Images/Eli/20210923/Ch15_Unit2.png,Images/Eli/20210923/Lift_cell_unit_15/position_heatmap.png;Images/Eli/20210923/Lift_cell_unit_15/position_heatmap_yt.png;Images/Eli/20210923/Lift_cell_unit_15/traj_all.png;Images/Eli/20210923/Lift_cell_unit_15/traj_all_yt.png,1,,,,
52,Davis,3/22/2022 8:36,1,1,D:\Ephys\ANMs\Davis\Sessions\20220322\RTarrayAll.mat,M1,Images/Davis/20220322/Ch1_Unit1.png,,,,,,
53,Davis,3/23/2022 8:18,1,1,D:\Ephys\ANMs\Davis\Sessions\20220323\RTarrayAll.mat,M1,Images/Davis/20220323/Ch1_Unit1.png,,,,,1,
54,Davis,3/29/2022 7:19,1,1,D:\Ephys\ANMs\Davis\Sessions\20220329\RTarrayAll.mat,M1,Images/Davis/20220329/Ch1_Unit1.png,,,,,,
55,Davis,3/29/2022 7:19,2,1,D:\Ephys\ANMs\Davis\Sessions\20220329\RTarrayAll.mat,M1,Images/Davis/20220329/Ch2_Unit1.png,,,,,,
56,Davis,3/31/2022 6:51,1,1,D:\Ephys\ANMs\Davis\Sessions\20220331\RTarrayAll.mat,M1,Images/Davis/20220331/Ch1_Unit1.png,,,,,1,
57,Davis,3/31/2022 6:51,1,2,D:\Ephys\ANMs\Davis\Sessions\20220331\RTarrayAll.mat,M1,Images/Davis/20220331/Ch1_Unit2.png,,,,,,
58,Davis,3/31/2022 6:51,2,1,D:\Ephys\ANMs\Davis\Sessions\20220331\RTarrayAll.mat,M1,Images/Davis/20220331/Ch2_Unit1.png,Images/Davis/20220331/Lift_cell_unit_4/position_heatmap.png;Images/Davis/20220331/Lift_cell_unit_4/position_heatmap_yt.png;Images/Davis/20220331/Lift_cell_unit_4/traj_all.png;Images/Davis/20220331/Lift_cell_unit_4/traj_all_yt.png,1,,,,
59,Davis,3/31/2022 6:51,3,1,D:\Ephys\ANMs\Davis\Sessions\20220331\RTarrayAll.mat,M1,Images/Davis/20220331/Ch3_Unit1.png,Images/Davis/20220331/Lift_cell_unit_5/position_heatmap.png;Images/Davis/20220331/Lift_cell_unit_5/position_heatmap_yt.png;Images/Davis/20220331/Lift_cell_unit_5/traj_all.png;Images/Davis/20220331/Lift_cell_unit_5/traj_all_yt.png,1,,,,
60,Davis,3/31/2022 6:51,4,1,D:\Ephys\ANMs\Davis\Sessions\20220331\RTarrayAll.mat,M1,Images/Davis/20220331/Ch4_Unit1.png,Images/Davis/20220331/Lift_cell_unit_6/position_heatmap.png;Images/Davis/20220331/Lift_cell_unit_6/position_heatmap_yt.png;Images/Davis/20220331/Lift_cell_unit_6/traj_all.png;Images/Davis/20220331/Lift_cell_unit_6/traj_all_yt.png,1,,,,
61,Davis,4/6/2022 9:54,2,1,D:\Ephys\ANMs\Davis\Sessions\20220406\RTarrayAll.mat,M1,Images/Davis/20220406/Ch2_Unit1.png,Images/Davis/20220406/Lift_cell_unit_1/position_heatmap.png;Images/Davis/20220406/Lift_cell_unit_1/position_heatmap_yt.png;Images/Davis/20220406/Lift_cell_unit_1/traj_all.png;Images/Davis/20220406/Lift_cell_unit_1/traj_all_yt.png,1,,,1,
62,Davis,4/6/2022 9:54,3,1,D:\Ephys\ANMs\Davis\Sessions\20220406\RTarrayAll.mat,M1,Images/Davis/20220406/Ch3_Unit1.png,Images/Davis/20220406/Lift_cell_unit_3/position_heatmap.png;Images/Davis/20220406/Lift_cell_unit_3/position_heatmap_yt.png;Images/Davis/20220406/Lift_cell_unit_3/traj_all.png;Images/Davis/20220406/Lift_cell_unit_3/traj_all_yt.png,1,,,,
63,Davis,4/6/2022 9:54,3,2,D:\Ephys\ANMs\Davis\Sessions\20220406\RTarrayAll.mat,M1,Images/Davis/20220406/Ch3_Unit2.png,Images/Davis/20220406/Lift_cell_unit_4/position_heatmap.png;Images/Davis/20220406/Lift_cell_unit_4/position_heatmap_yt.png;Images/Davis/20220406/Lift_cell_unit_4/traj_all.png;Images/Davis/20220406/Lift_cell_unit_4/traj_all_yt.png,1,,,,
64,Davis,4/6/2022 9:54,4,1,D:\Ephys\ANMs\Davis\Sessions\20220406\RTarrayAll.mat,M1,Images/Davis/20220406/Ch4_Unit1.png,Images/Davis/20220406/Lift_cell_unit_5/position_heatmap.png;Images/Davis/20220406/Lift_cell_unit_5/position_heatmap_yt.png;Images/Davis/20220406/Lift_cell_unit_5/traj_all.png;Images/Davis/20220406/Lift_cell_unit_5/traj_all_yt.png,1,,,,
65,Davis,4/26/2022 8:20,1,1,D:\Ephys\ANMs\Davis\Sessions\20220426\RTarrayAll.mat,M1,Images/Davis/20220426/Ch1_Unit1.png,,,,,,
66,Davis,4/26/2022 8:20,1,2,D:\Ephys\ANMs\Davis\Sessions\20220426\RTarrayAll.mat,M1,Images/Davis/20220426/Ch1_Unit2.png,Images/Davis/20220426/Lift_cell_unit_2/position_heatmap.png;Images/Davis/20220426/Lift_cell_unit_2/position_heatmap_yt.png;Images/Davis/20220426/Lift_cell_unit_2/traj_all.png;Images/Davis/20220426/Lift_cell_unit_2/traj_all_yt.png,1,,,1,
67,Davis,4/26/2022 8:20,1,3,D:\Ephys\ANMs\Davis\Sessions\20220426\RTarrayAll.mat,M1,Images/Davis/20220426/Ch1_Unit3.png,,,,,,
